nome,capital,latitude,longitude,distancia_aerea_km,distancia_rodoviaria_km,tempo_viagem_min
Olinda,0,-8.01017,-34.8545,4.759762644813854,5.79,8.346833333333333
Camaragibe,0,-8.02351,-34.9782,11.425205530204478,15.11,24.266333333333332
Paulista,0,-7.93401,-34.8684,12.56268940279782,16.01,23.10533333333333
São Lourenço da Mata,0,-8.00684,-35.0124,15.541371020264972,30.26,35.705000000000005
Abreu e Lima,0,-7.90072,-34.8984,16.39642363466244,19.05,28.30933333333333
Jaboatão dos Guararapes,0,-8.11298,-35.015,16.877866388011473,21.93,27.422166666666666
Moreno,0,-8.10871,-35.0835,23.747346399199138,31.2,38.52166666666667
Igarassu,0,-7.82881,-34.9013,24.36998433531608,27.17,38.470666666666666
Cabo de Santo Agostinho,0,-8.28218,-35.0253,30.85332067935977,35.41,38.39866666666667
Itapissuma,0,-7.76798,-34.8971,31.06599419435939,36.86,53.32333333333334
