nome,capital,latitude,longitude,distancia_aerea_km,distancia_rodoviaria_km,tempo_viagem_min
Vera Cruz,0,-12.9568,-38.6153,12.486676143333177,23.0,71.07
Lauro de Freitas,0,-12.8978,-38.321,21.181623095631718,26.14,32.538333333333334
Itaparica,0,-12.8932,-38.68,21.267056117762834,29.74,77.32600000000001
Simões Filho,0,-12.7866,-38.4029,23.18172036344399,26.42,30.776999999999997
Madre de Deus,0,-12.7446,-38.6153,28.133765106702974,61.87,69.88550000000001
Salinas da Margarida,0,-12.873,-38.7562,29.750184828070736,73.8,122.9105
Candeias,0,-12.6716,-38.5472,33.75285015795396,49.46,55.8335
Camaçari,0,-12.6996,-38.3263,35.71068363213315,49.6,56.48633333333333
Saubara,0,-12.7387,-38.7625,38.40381143396382,102.71,103.61916666666666
São Francisco do Conde,0,-12.6183,-38.6786,43.76662830456407,81.13,81.34066666666666
