nome,capital,latitude,longitude,tipo,distancia_aerea_km,distancia_rodoviaria_km,tempo_viagem_min
Vera Cruz,0,-12.9568,-38.6153,Cidade,12.486676143333177,23.0,71.07
Lauro de Freitas,0,-12.8978,-38.321,Cidade,21.181623095631718,26.14,32.538333333333334
Itaparica,0,-12.8932,-38.68,Cidade,21.267056117762834,29.74,77.32600000000001
Simões Filho,0,-12.7866,-38.4029,Cidade,23.18172036344399,26.42,30.776999999999997
Madre de Deus,0,-12.7446,-38.6153,Cidade,28.133765106702974,61.87,69.88550000000001
Salinas da Margarida,0,-12.873,-38.7562,Cidade,29.750184828070736,73.8,122.9105
Candeias,0,-12.6716,-38.5472,Cidade,33.75285015795396,49.46,55.8335
Camaçari,0,-12.6996,-38.3263,Cidade,35.71068363213315,49.6,56.48633333333333
Saubara,0,-12.7387,-38.7625,Cidade,38.40381143396382,102.71,103.61916666666666
São Francisco do Conde,0,-12.6183,-38.6786,Cidade,43.76662830456407,81.13,81.34066666666666
Aracaju,1,-10.9091,-37.0677,Capital,277.34546562305013,322.3,293.173
Maceió,1,-9.66599,-35.735,Capital,475.44909089860147,579.54,550.4053333333334
Recife,1,-8.04666,-34.8771,Capital,675.866664080614,807.82,769.4331666666666
João Pessoa,1,-7.11509,-34.8641,Capital,763.2392887878638,920.88,891.769
Vitória,1,-20.3155,-40.3128,Capital,839.0441663098476,1206.35,1195.9146666666668
