nome,capital_x,latitude,longitude,tipo_x,distancia_aerea_km_x,distancia_rodoviaria_km_x,tempo_viagem_min,capital_y,distancia_aerea_km_y,distancia_rodoviaria_km_y,populacao_2025,pib_bilhoes,pib_per_capita,idh_2021,empregos_formais,tipo_y,densidade_demografica,idh_2010
Olinda,0,-8.01017,-34.8545,Cidade,4.759762644813854,5.79,8.346833333333333,,4.76,5.79,365400,5.8,14700,,79500,Cidade,8474.0,ND
Camaragibe,0,-8.02351,-34.9782,Cidade,11.425205530204478,15.11,24.26633333333333,,11.43,15.11,156112,2.2,13940,,16300,Cidade,2879.35,0.692
Paulista,0,-7.93401,-34.8684,Cidade,12.56268940279782,16.01,23.10533333333333,,12.56,16.01,363000,5.6,16600,,54000,Cidade,3098.0,ND
São Lourenço da Mata,0,-8.00684,-35.0124,Cidade,15.541371020264972,30.26,35.705000000000005,,15.54,30.26,117759,1.4,12568,,11800,Cidade,421.9,0.653
Abreu e Lima,0,-7.90072,-34.8984,Cidade,16.39642363466244,19.05,28.30933333333333,,16.4,19.05,103900,1.7,17100,,11000,Cidade,779.07,ND
Jaboatão dos Guararapes,0,-8.11298,-35.015,Cidade,16.877866388011473,21.93,27.422166666666666,,16.88,21.93,684293,16.1,22681,,107000,Cidade,2489.28,0.717
Moreno,0,-8.10871,-35.0835,Cidade,23.747346399199134,31.2,38.52166666666667,,23.75,31.2,57600,0.893,14000,,8800,Cidade,284.6,ND
Igarassu,0,-7.82881,-34.9013,Cidade,24.36998433531608,27.17,38.470666666666666,,24.37,27.17,123017,3.5,29003,,23700,Cidade,375.38,0.665
Cabo de Santo Agostinho,0,-8.28218,-35.0253,Cidade,30.85332067935977,35.41,38.39866666666667,,30.85,35.41,217000,13.7,65000,,42400,Cidade,413.0,0.686
Itapissuma,0,-7.76798,-34.8971,Cidade,31.06599419435939,36.86,53.32333333333334,,31.07,36.86,29669,2.4,87815,,8000,Cidade,375.15,0.633
João Pessoa,1,-7.11509,-34.8641,Capital,103.59576773494516,115.88,127.85133333333332,1.0,103.6,115.88,888700,22.2,26900,ND,301600,,,
Maceió,1,-9.66599,-35.735,Capital,203.23820802611291,258.44,247.39116666666663,1.0,203.24,258.44,994500,27.5,26600,ND,283800,,,
Natal,1,-5.79357,-35.1986,Capital,253.03290890498323,284.48,293.91650000000004,1.0,253.03,284.48,890000,33.2,35200,ND,ND,,,
Aracaju,1,-10.9091,-37.0677,Capital,398.77150375969967,498.64,483.6953333333333,1.0,398.77,498.64,628800,18.4,27400,0.77,225600,,,
Fortaleza,1,-3.71664,-38.5423,Capital,629.3585846649692,778.68,736.634,1.0,629.36,778.68,2700000,65.8,24200,ND,ND,,,
