nome,capital_x,latitude,longitude,tipo_x,distancia_aerea_km_x,distancia_rodoviaria_km_x,tempo_viagem_min,capital_y,distancia_aerea_km_y,distancia_rodoviaria_km_y,populacao_2025,pib_bilhoes,pib_per_capita,idh_2021,empregos_formais,tipo_y,densidade_demografica,idh_2010
Vera Cruz,0,-12.9568,-38.6153,Cidade,12.486676143333176,23.0,71.07,,12.49,23.0,45191,0.603,13641,,5100,Cidade,142.94,0.645
Lauro de Freitas,0,-12.8978,-38.321,Cidade,21.18162309563172,26.14,32.538333333333334,,21.18,26.14,219564,7.3,35800,,126500,Cidade,ND,0.754
Itaparica,0,-12.8932,-38.68,Cidade,21.267056117762834,29.74,77.32600000000001,,21.27,29.74,19789,0.247,11000,,2400,Cidade,163.04,ND
Simões Filho,0,-12.7866,-38.4029,Cidade,23.18172036344399,26.42,30.777,,23.18,26.42,120419,6.3,46197,,46000,Cidade,568.45,0.675
Madre de Deus,0,-12.7446,-38.6153,Cidade,28.13376510670297,61.87,69.88550000000001,,28.13,61.87,19200,0.516,23700,,3200,Cidade,574.64,0.708
Salinas da Margarida,0,-12.873,-38.7562,Cidade,29.750184828070736,73.8,122.9105,,29.75,73.8,15629,0.201,12550,,1200,Cidade,99.54,0.617
Candeias,0,-12.6716,-38.5472,Cidade,33.75285015795396,49.46,55.8335,,33.75,49.46,75100,6.8,77650,,16300,Cidade,ND,0.691
Camaçari,0,-12.6996,-38.3263,Cidade,35.71068363213315,49.6,56.48633333333333,,35.71,49.6,319394,34.0,109867,,80600,Cidade,382.43,0.694
Saubara,0,-12.7387,-38.7625,Cidade,38.40381143396382,102.71,103.61916666666666,,38.4,102.71,11800,0.146,12000,,1600,Cidade,ND,ND
São Francisco do Conde,0,-12.6183,-38.6786,Cidade,43.76662830456407,81.13,81.34066666666666,,43.77,81.13,40932,13.1,321811,,8600,Cidade,ND,ND
Aracaju,1,-10.9091,-37.0677,Capital,277.34546562305013,322.3,293.173,1.0,277.35,322.3,628800,18.4,27400,0.77,225600,,,
Maceió,1,-9.66599,-35.735,Capital,475.4490908986015,579.54,550.4053333333334,1.0,475.45,579.54,994500,27.5,26600,ND,283800,,,
Recife,1,-8.04666,-34.8771,Capital,675.866664080614,807.82,769.4331666666666,1.0,675.87,807.82,1600000,55.0,33094,ND,703200,,,
João Pessoa,1,-7.11509,-34.8641,Capital,763.2392887878638,920.88,891.769,1.0,763.24,920.88,888700,22.2,26900,ND,301600,,,
Vitória,1,-20.3155,-40.3128,Capital,839.0441663098476,1206.35,1195.9146666666668,1.0,839.04,1206.35,362000,31.42,60428,0.845,ND,,,
